Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,67.97,,,,,,,120,21.67,,,,,,,,,,,,,,,,,120,125.27,,,,,,,120,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,54.00,,,,,,,150,20.32,,,,,,,,,,,,,,,,,150,93.41,,,,,,,150,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,35.18,,,,,,,180,18.40,,,,,,,,,,,,,,,,,180,48.60,,,,,,,180,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodorakis 2004,Theodorakis MJ. Carlson O. Muller DC. Egan JM. Elevated plasma glucose-dependent insulinotropic polypeptide associates with hyperinsulinemia in impaired glucose tolerance. Diabetes Care. 2004 Jul;27(7):1692-8. doi: 10.2337/diacare.27.7.1692. PMID: 15220248.,34,No obesity-No T2DM Cohort,27.5,0.5,15,69.6,2.3,"Modified OGTT in BLSA subjects In the morning, after an overnight fast, blood was first obtained for lipid levels and HbA1c determinations. Sampling of fasting plasma was also collected at baseline (time 0), after which participants drank 75 g glucose in 300 ml solution (SunDex; Fisherbrand, Pittsburgh, PA), and nine more blood samples were subsequently drawn at 5, 10, 15, 20, 40, 60, 80, 100, and 120 min after oral glucose for measurements of plasma glucose, insulin, C-peptide, glucagon, and intact and total GIP levels. To assess early-phase insulin secretion, we used the insulinogenic index (17), calculated as the ratio of the increment in the plasma insulin level (in microunits per milliliter) to that in the plasma glucose level (in milligrams per deciliter) during the first 20 min after ingestion of glucose—the lower the index, the worse the insulin secretion. To estimate an insulin resistance index, we used the homeostasis model assessment for insulin resistance (HOMA-IR) (18), calculated as the product of fasting insulin (microunits per milliliter) and fasting glucose (in millimoles per liter) divided by 22.5. Lower indexes indicate better insulin sensitivity. We estimated the incremental changes for plasma insulin, C-peptide, and intact and total GIP levels between 0–20 and 20–120 min postchallenge and calculated the area under the curve (AUC) for the same plasma hormone concentrations versus time by the trapezoidal rule. The bodyweight and height of subjects were measured manually by a medical scale (SECA, Hanover, MD), and BMI was calculated as body weight in kilograms divided by the square of the height in meters.",All data were analyzed using SAS 8.2 software (SAS Institute. Cary. NC). All values are expressed as means SE (values for HbA1c are displayed as means SD). Standard methods were used to compute means and SE. Repeated-measures ANOVA and Bonferroni’s multiple comparison post hoc test were used to compare mean values of glucose and hormone levels. whereas one-way ANOVA with the same post hoc test was used to compare means of HOMA-IR. insulinogenic index. age. BMI. HbA1c. lipids. incremental changes. and AUC in  plasma hormone levels among the three groups. All data were normally distributed (Kolmogoro and Smirnov test). Simple Pearson correlation was performed between plasma in sulin and plasma intact and total GIP levels (both nontransformed and log transformed values were used because of significant variability exhibited by the relatively small population of subjects with IGT) at various time points followed by linear regression analysis. All significance tests for the comparisons were two sided and P values 0.05 were regarded as indicating statistical significance.,We assayed plasma samples for insulin and C-peptide by enzyme-linked immunosorbent assay (ELISA) (ALPCO Diagnostics. Windham. NH) with a detection limit of 1 U/ml and 20 pmol. respectively. Cross-reactivity of the insulin antibody for C-peptide and vice versa was < 0.1%. We measured plasma glucagon by radioimmunoassay (Linco Research. t. Charles. MO). with a detection limit of 2  pg (100 l plasma). Radioimmunoassay for total plasma GIP detrerminations Phoenix Laboratories. Belmot. CA) with a detective level of 4 pmol (100 l plasma). The intraassay variation coefficients for intact TOTAL GIP GIP. insulin. C-peptide. and glucagon were 5. 23. 3.6. 3.6. and 4.8%. respectively. and the interassay variation coefficients were 14. 0. 2.5. 3.3. and 12%. respectively. Blood used for all GIP deteminations was collected in EDTA-coated tubes (1.5 g/ml blood) containing aprotinin (40 l/ml blood; Trasylol. Serological Proteins. Kankakee. IL) and an inhibitor of dipeptidyl peptidase IV (#DDP4. 10 l/ml blood; Linco Research). We processed all samples from each subject for intact GIP immediately without freezing and performed all assays in duplicate. Total GIP levels were all assayed at the same time in aliquots that had been frozen just once; hence there was no interassay variation. We measured plasma glucose levels with a glucose analyzer (Beckman Instruments. Brea. CA) and HbA1c with an automated DiaSTAT analyzer (Bio-Rad Laboratories. Hercules. CA). Sampling of fasting plasma was also collected at baseline (time 0). after which participants drank 75 g glucose in 300 ml solution (SunDex; Fisherbrand. Pittsburgh. PA). and nine more blood samples were subsequently drawn at 5. 10. 15. 20. 40. 60. 80. 100. and 120 min after oral glucose for measurements of plasma glucose. insulin. C-peptide. glucagon. and intact and total GIP levels.,75 g glucose in 300 ml solution (SunDex; Fisherbrand. Pittsburgh. PA,No obesity-No T2DM Cohort,Oral Glucose Tolerance Test,300 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,32.40,,,,,,,,,,,,,,,,,,,,,,,,,0,31.33,,,0,16.90,,,0,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,78.58,,,,,,,,,,,,,,,,,,,,,,,,,15,188.76,,,15,17.22,,,15,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,78.76,,,,,,,,,,,,,,,,,,,,,,,,,30,249.80,,,30,15.06,,,30,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,81.80,,,,,,,,,,,,,,,,,,,,,,,,,60,281.93,,,60,14.47,,,60,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,91.29,,,,,,,,,,,,,,,,,,,,,,,,,90,249.80,,,90,14.69,,,90,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,80.10,,,,,,,,,,,,,,,,,,,,,,,,,120,181.53,,,120,13.84,,,120,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valderas 2010,Valderas JP. Irribarra V. Boza C. de la Cruz R. Liberona Y. Acosta AM. Yolito M. Maiz A. Medical and surgical treatments for obesity have opposite effects on peptide YY and appetite: a prospective study controlled for weight loss. J Clin Endocrinol Metab. 2010 Mar;95(3):1069-75. doi: 10.1210/jc.2009-0983. Epub 2010 Jan 22. PMID: 20097707.,8,No obesity-No T2DM Cohort,21.7,0.7,,36.4,,,Values for the area under the curve (AUC) for PYY. hunger. and satiety after a standard mixed-liquid meal were calculated using the trapezoidal method and were compared using ANOVA or a paired samples t test. Blood samples were drawn before and at 30. 60. 90. 120. and 180 min after the intake of 237 ml of a standard test meal,Total plasma PYY levels were measured with a commercially available RIA kit (Linco Research. Inc.. St. Charles. MO),Liquid standard test meal   Ensure Plus 237 ml: 355 kcal. 13 g protein. 50 g carbohydrate. 11 g fat; Abbott Laboratories. Columbus. OH,No obesity-No T2DM Cohort,Liquid Mixed Meal Test,355 Kcal,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PYY,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,39.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,42.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,42.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,45.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,36.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilsbøll 2001,"Vilsbøll T, Krarup T, Deacon CF, Madsbad S, Holst JJ. Reduced postprandial concentrations of intact biologically active glucagon-like peptide 1 in type 2 diabetic patients. Diabetes. 2001 Mar;50(3):609-13. doi: 10.2337/diabetes.50.3.609. PMID: 11246881.",12,Obesity Cohort,31.0,,7,,,,All oral antidiabetic medications were discontinued 72 h before the study. After an overnight fast (from 10:00 P.M.). one cannula was inserted into the cubital vein for blood sampling. Venous blood was drawn 15. 10. and 0 min before and 15. 30. 45. 60. 75. 90. 120. 150. and 180 min after ingestion of the meal.                                                                                                                                                                  All results are presented as means SE. Statistical analysis was carried out as two-factor analysis of variance for repeated measurements with post hoc contrasting of patient results versus healthy subjects using the software Statistica. Areas under the curve (AUCs) were calculated using the trapezoidal rule and compared using the t test for paired data.,Total GIP was measured using the COOH-terminally directed antiserum R65. Intact biologically active GIP was measured using a newly developed assay. Anti-bodies were raised by immunizing rabbits with the synthetic sequence. GIP(1-10)-Cys (Genosys Biotechnologies [Europe]. Cambridge. U.K.). Plasma samples were assayed for GLP-1 immunoreactivity using RIAs that are specific for each terminus of the GLP-1 molecule: the NH2-terminal assay measuring the concentration of intact surviving GLP-1 and the COOH-terminal assay measuring the sum of the intact peptide plus the primary metabolite. NH2-terminal immunoreactivity was measured using antiserum 93242. COOH-terminal immunoreactivity of GLP-1 was measured using standards of synthetic GLP-1(7-36) amide and antiserum 89390.,The test meal consisted of 50 g white bread. 50 g black bread. 10 g butter. 40 g cheese. 20 g jam. and 200 ml milk (34% fat. 47% carbohydrate. and 19% protein). comprising a total of 566 kcal (2.370 kJ). and the meal was consumed within 15 min.,Obesity Cohort,Solid Mixed Meal Test,566 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,9.19,,,0,8.27,,,0,9.97,,,0,7.68,,,,,,,,,,,,,0,63.40,,,,,,,0,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,31.50,,,15,22.00,,,15,12.10,,,15,8.00,,,,,,,,,,,,,15,150.00,,,,,,,15,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,70.40,,,30,39.40,,,30,17.80,,,30,9.00,,,,,,,,,,,,,30,383.00,,,,,,,30,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,98.30,,,60,50.20,,,60,19.10,,,60,10.60,,,,,,,,,,,,,60,453.00,,,,,,,60,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,99.40,,,90,53.30,,,90,24.50,,,90,15.40,,,,,,,,,,,,,90,280.00,,,,,,,90,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,94.60,,,120,41.80,,,120,25.70,,,120,13.30,,,,,,,,,,,,,120,180.00,,,,,,,120,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,69.10,,,150,26.50,,,150,20.70,,,150,12.50,,,,,,,,,,,,,150,124.00,,,,,,,150,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,42.40,,,180,21.30,,,180,17.40,,,180,9.30,,,,,,,,,,,,,180,93.40,,,,,,,180,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones 1989,"Jones IR, Owens DR, Luzio S, Williams S, Hayes TM. The glucose dependent insulinotropic polypeptide response to oral glucose and mixed meals is increased in patients with type 2 (non-insulin-dependent) diabetes mellitus. Diabetologia. 1989 Sep;32(9):668-77. doi: 10.1007/BF00274255. PMID: 2676668.",31,No obesity-No T2DM Cohort,27.0,,11,38.0,,,The results were expressed as means + SEM and the significance assessed using the Student's unpaired t-test. Apvalue of < 0.05 was considered statistically significant.,After a 10 h overnight fast the subjects were admitted to a metabolic unit. where they remained on bed-rest throughout the study; smoking was not permitted. An intravenous cannula (Venflon 19G) was inserted into an antecutibal fossa vein and connected with a threeway tap to a slow running infusion of NaC1 (0.154 mmol/1). At each sampling time point the NaC1 infusion was stopped and 2 ml of blood was withdrawn and discarded prior to obtaining the sample for analysis. Blood samples were taken at 8.30 h and immediately prior to the administration of the OGTT or MTT at 09.00 h and then at 30 min intervals for 4 h. At each time point plasma glucose. immunoreactive insulin. C-peptide and GIP concentrations were measured. The blood was taken into fluoride tubes for plasma glucose determination (glucose oxidase). and into lithium-heparin tubes containing 1000 kallikrein inhibitory units of aprotinin (Novo A/S. Bagsvaerd. Denmark) for the determination of insulin [21]. C-peptide [22] and immunoreactive GIP levels [14]. All samples were collected on ice. centrifuged at 4~ and the supernatant stored at - 2 0 ~ until assay. The detection limit of immunoreactive insulin was 0.021 nmol/1 and the precision (SD within assay) was 0.009 nmol/1. The detection limit for C peptide was 0.035 nmol/1 and the precision 0.0115 nmol/1. Plasma immunoreactive GIP was measured using the R65 antiserum. Of all the antisera available this has one of the highest cross-reactivities with human GIP [13]. The GIP detection limit was 5 pmol/1 and the precision 1.8 pmol/1. In order to exclude any effect of obesity. each group was subdivided according to the BMI of the individual subjects. Those with a BMI of <25  were classified as lean and those >_25 as obese.,All subjects were studied on two consecutive days. They were given an oral glucose tolerance test (OGTT) (75 g) or meal tolerance test (MTr) (500 kcal-60% carbohydrate) in random order. The oral glucose challenge during the OGTT consisted of 75 g glucose dissolved in 200 mls of water. The composition of the MT'f is shown in Table 1. It contained approximately 500 kcal made up of 20% protein. 20% fat and 60% carbohydrate and therefore had a similar carbohydrate content to the OGTI'. The subjects were allowed 10 rnin to consume the oral glucose or meals.,No obesity-No T2DM Cohort,Solid Mixed Meal Test,500 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,21.10,,,,,,,,,,,,,,,,,,,,,,,,,0,60.00,,,,,,,0,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,36.80,,,,,,,,,,,,,,,,,,,,,,,,,15,260.00,,,,,,,15,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,56.30,,,,,,,,,,,,,,,,,,,,,,,,,30,500.00,,,,,,,30,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,76.80,,,,,,,,,,,,,,,,,,,,,,,,,60,400.00,,,,,,,60,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,90.90,,,,,,,,,,,,,,,,,,,,,,,,,90,310.00,,,,,,,90,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,85.80,,,,,,,,,,,,,,,,,,,,,,,,,120,240.00,,,,,,,120,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,70.80,,,,,,,,,,,,,,,,,,,,,,,,,150,100.00,,,,,,,150,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,62.10,,,,,,,,,,,,,,,,,,,,,,,,,180,130.00,,,,,,,180,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
